Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer
1,Which river is the longest in the world?,Amazon River,Nile River,Yangtze River,Mississippi River,A
2,What is the capital city of Australia?,Sydney,Melbourne,Canberra,Perth,C
3,Which mountain range is the longest in the world?,Andes Mountains,Himalayas,Rocky Mountains,Alps,A
4,In which continent is the Sahara Desert located?,Africa,Asia,Europe,Australia,A
5,Which ocean is the largest in the world?,Atlantic Ocean,Indian Ocean,Southern Ocean,Pacific Ocean,D
6,Which country is known as the Land of the Rising Sun?,China,India,Japan,South Korea,C
7,What is the capital of Brazil?,Rio de Janeiro,São Paulo,Brasília,Salvador,C
8,Which African country is known as the "Pearl of Africa"?,Nigeria,Kenya,Uganda,South Africa,C
9,What is the currency of Japan?,Yuan,Yen,Won,Rupee,B
10,In which country would you find the ancient city of Petra?,Egypt,Saudi Arabia,Jordan,Iraq,C
11,Which European country is known for its windmills, tulips, and wooden shoes?,Germany,Netherlands,France,Italy,B
12,What is the smallest continent in the world?,Asia,Africa,Australia,Europe,C
13,Which river runs through Paris?,Danube River,Seine River,Thames River,Rhine River,B
14,In which country would you find the Great Barrier Reef?,Brazil,Australia,Philippines,Thailand,B
15,Which desert is often called the "Roof of the World"?,Gobi Desert,Sahara Desert,Atacama Desert,Taklamakan Desert,A
16,What is the capital of Canada?,Toronto,Montreal,Vancouver,Ottawa,D
17,Which island country is known as the "Pearl of the Indian Ocean"?,Maldives,Sri Lanka,Mauritius,Seychelles,B
18,In which U.S. state is the Grand Canyon located?,California,Arizona,Texas,Colorado,B
19,Which strait separates Africa from Europe?,Bering Strait,Strait of Gibraltar,Palk Strait,Bosporus Strait,B
20,What is the highest mountain in the world?,Mount Kilimanjaro,Mount Everest,Mount McKinley,K2,B
