Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer
1,What is the chemical symbol for water?,Hg,H2O,O2,CO2,B
2,Which gas is responsible for the greenhouse effect?,Oxygen (O2),Nitrogen (N2),Carbon Dioxide (CO2),Methane (CH4),C
3,What is the powerhouse of the cell?,Nucleus,Mitochondria,Golgi Apparatus,Endoplasmic Reticulum,B
4,Which planet is known as the "Red Planet"?,Venus,Mars,Jupiter,Saturn,B
5,What is the formula for Einstein's mass-energy equivalence principle (E=mc^2)?,E=mc^2,E=mv^2,F=ma,W=mg,A
6,What is the largest organ in the human body?,Heart,Liver,Skin,Brain,C
7,Which element has the chemical symbol 'O'?,Oxygen (O),Osmium (Os),Oxygen (O2),Ozone (O3),A
8,What is the process by which plants make their own food?,Photosynthesis,Respiration,Transpiration,Evaporation,A
9,What is the speed of light in a vacuum?,300,000 km/s,500,000 km/s,700,000 km/s,900,000 km/s,A
10,Who is known as the father of modern physics?,Isaac Newton,Albert Einstein,Galileo Galilei,Nikola Tesla,B
11,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,A
12,Which planet is closest to the Sun?,Venus,Mars,Mercury,Jupiter,C
13,What is the main gas responsible for the Earth's atmosphere?,Oxygen (O2),Nitrogen (N2),Carbon Dioxide (CO2),Argon (Ar),B
14,What is the process by which rocks are broken down into smaller particles?,Weathering,Erosion,Deposition,Compaction,A
15,What is the primary function of red blood cells?,Transporting oxygen,Clotting blood,Fighting infections,Producing antibodies,A
16,What is the chemical symbol for silver?,Au,Ag,Fe,Cu,B
17,Which gas do plants release during photosynthesis?,Oxygen (O2),Carbon Dioxide (CO2),Nitrogen (N2),Hydrogen (H2),A
18,What is the Earth's largest ocean?,Atlantic Ocean,Indian Ocean,Southern Ocean,Pacific Ocean,D
19,What is the boiling point of water in Celsius?,100°C,0°C,-10°C,50°C,A
20,Who developed the theory of evolution by natural selection?,Charles Darwin,Albert Einstein,Isaac Newton,Galileo Galilei,A
