Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer
1,Who painted the famous artwork "Starry Night"?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Claude Monet,B
2,Which art movement is characterized by bold colors and geometric shapes?,Surrealism,Abstract Expressionism,Cubism,Pop Art,D
3,Who sculpted the statue of David?,Michelangelo,Leonardo da Vinci,Raphael,Donatello,A
4,Which artist is known for his works featuring melting clocks?,Pablo Picasso,Salvador Dalí,Claude Monet,Van Gogh,B
5,What is the primary color in the subtractive color model?,Red,Blue,Yellow,Green,C
6,Who painted the Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,C
7,Which art movement emphasized spontaneity and the subconscious mind?,Cubism,Surrealism,Impressionism,Baroque,B
8,Who is considered the father of modern abstract art?,Piet Mondrian,Wassily Kandinsky,Georgia O'Keeffe,Jackson Pollock,B
9,Which Renaissance artist is known for his detailed anatomical drawings?,Leonardo da Vinci,Michelangelo,Raphael,Donatello,A
10,Who created the famous painting "The Persistence of Memory" featuring melting clocks?,Pablo Picasso,Salvador Dalí,Claude Monet,Van Gogh,B
11,Which color is associated with the Pop Art movement?,Red,Blue,Yellow,Green,C
12,Who is known for his "Campbell's Soup Cans" artwork?,Andy Warhol,Roy Lichtenstein,Jackson Pollock,Mark Rothko,A
13,What is the technique of creating images by arranging small pieces of colored glass, stone, or other materials called?,Mosaic,Impasto,Engraving,Decoupage,A
14,Which art style is characterized by exaggerated depictions of the human form and vivid colors?,Realism,Abstract Expressionism,Fauvism,Baroque,C
15,Who is known for his cut-out paper collages and the technique of "painting with scissors"?,Henri Matisse,Pablo Picasso,Georges Braque,Claude Monet,A
16,In art, what does the term "chiaroscuro" refer to?,Use of color,Play of light and shadow,Geometric shapes,Abstract composition,B
17,Which famous sculpture depicts the Greek goddess of love and beauty?,The Thinker,Venus de Milo,Winged Victory of Samothrace,David,B
18,Who is considered the founder of Impressionism?,Claude Monet,Pierre-Auguste Renoir,Edgar Degas,Édouard Manet,A
19,What art movement rejected traditional representation in favor of geometric shapes and primary colors?,Abstract Expressionism,Cubism,Surrealism,Constructivism,B
20,Who painted "The Girl with a Pearl Earring"?,Johannes Vermeer,Rembrandt van Rijn,Vincent van Gogh,Jan van Eyck,A
